 #energy tdos sumdos updos dndos awdos
       -21.0561         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0500         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0439         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0378         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0317         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0257         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0196         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0135         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0074         0.0000         4.4918         0.0000        -0.0000         0.0000
       -21.0013         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9952         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9891         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9830         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9769         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9708         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9647         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9586         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9525         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9464         0.0000         4.4918         0.0000        -0.0000         0.0000
       -20.9403         0.0001         4.4918         0.0000        -0.0000         0.0001
       -20.9342         0.0001         4.4918         0.0001        -0.0000         0.0001
       -20.9281         0.0001         4.4918         0.0001        -0.0001         0.0001
       -20.9220         0.0002         4.4918         0.0001        -0.0001         0.0002
       -20.9159         0.0003         4.4918         0.0002        -0.0001         0.0003
       -20.9098         0.0004         4.4918         0.0002        -0.0002         0.0004
       -20.9037         0.0006         4.4918         0.0004        -0.0002         0.0006
       -20.8976         0.0008         4.4919         0.0005        -0.0003         0.0008
       -20.8915         0.0012         4.4919         0.0007        -0.0005         0.0012
       -20.8854         0.0017         4.4919         0.0010        -0.0006         0.0017
       -20.8793         0.0024         4.4919         0.0014        -0.0009         0.0024
       -20.8732         0.0033         4.4919         0.0020        -0.0013         0.0033
       -20.8671         0.0046         4.4919         0.0028        -0.0018         0.0046
       -20.8610         0.0064         4.4919         0.0039        -0.0025         0.0064
       -20.8549         0.0088         4.4920         0.0054        -0.0034         0.0088
       -20.8488         0.0120         4.4920         0.0074        -0.0046         0.0120
       -20.8427         0.0164         4.4921         0.0101        -0.0063         0.0164
       -20.8366         0.0222         4.4922         0.0136        -0.0086         0.0222
       -20.8305         0.0299         4.4923         0.0184        -0.0115         0.0299
       -20.8244         0.0400         4.4924         0.0246        -0.0154         0.0400
       -20.8183         0.0532         4.4926         0.0328        -0.0205         0.0532
       -20.8122         0.0705         4.4929         0.0434        -0.0271         0.0705
       -20.8061         0.0928         4.4933         0.0572        -0.0356         0.0928
       -20.8000         0.1214         4.4938         0.0749        -0.0465         0.1214
       -20.7939         0.1580         4.4945         0.0975        -0.0605         0.1580
       -20.7878         0.2044         4.4953         0.1262        -0.0782         0.2044
       -20.7817         0.2629         4.4964         0.1624        -0.1005         0.2629
       -20.7756         0.3363         4.4978         0.2079        -0.1284         0.3363
       -20.7695         0.4277         4.4997         0.2645        -0.1632         0.4277
       -20.7634         0.5409         4.5020         0.3347        -0.2062         0.5409
       -20.7573         0.6800         4.5049         0.4210        -0.2590         0.6800
       -20.7512         0.8501         4.5087         0.5266        -0.3235         0.8501
       -20.7451         1.0567         4.5133         0.6550        -0.4017         1.0567
       -20.7390         1.3060         4.5192         0.8100        -0.4960         1.3060
       -20.7329         1.6048         4.5264         0.9959        -0.6090         1.6048
       -20.7268         1.9609         4.5352         1.2175        -0.7434         1.9609
       -20.7207         2.3822         4.5461         1.4799        -0.9023         2.3822
       -20.7146         2.8776         4.5594         1.7886        -1.0889         2.8776
       -20.7085         3.4561         4.5754         2.1494        -1.3067         3.4561
       -20.7024         4.1273         4.5947         2.5682        -1.5591         4.1273
       -20.6963         4.9007         4.6178         3.0511        -1.8496         4.9007
