 #  energy  xx  yy  zz  xy  xz  yz
         2.1334         0.7185         0.0938         0.0010        -0.1094         0.0143        -0.0094
         2.1338         0.6346         0.1126         0.0011         0.0949         0.0118        -0.0078
         2.1341         4.2626         1.4880         0.0110        -0.3507         0.1425        -0.1075
         2.1342         0.2960         0.2642         0.0013         0.2060         0.0054        -0.0082
         2.1347         0.4973         0.0428         0.0003        -0.0666         0.0116        -0.0029
         2.1348         0.3921         0.1764         0.0036         0.1408         0.0107        -0.0167
         2.1351         0.8742         0.5824         0.0069        -0.0691         0.0469        -0.0539
         2.1352         0.4926         0.2791         0.0021         0.0835         0.0192        -0.0155
         2.1353         0.5625         0.0261         0.0007         0.0224         0.0121        -0.0028
         2.1363         0.2293         0.1714         0.0022         0.0618         0.0114        -0.0130
         2.1388         0.4547         0.3240         0.0020         0.1843         0.0144        -0.0137
         2.1399         0.3901         0.2713         0.0019         0.0936         0.0153        -0.0144
         2.1413         1.2356         0.5298         0.0026        -0.0754         0.0222        -0.0357
         2.1419         0.5222         0.3554         0.0005        -0.0696         0.0108        -0.0112
         2.1436         1.3075         0.4961         0.0029        -0.0942         0.0316        -0.0350
         2.1437         0.9247         0.2295         0.0016        -0.0932         0.0180        -0.0181
         2.1444         0.4870         0.3536         0.0014         0.0083         0.0005        -0.0223
         2.1447         0.5926         0.4768         0.0009        -0.1664         0.0170        -0.0173
         2.1463         0.4595         0.2034         0.0013         0.0041        -0.0034        -0.0160
         2.1471         0.4489         0.0234         0.0005        -0.0802         0.0121        -0.0034
         2.1474         2.0803         2.1001         0.0113        -0.3726         0.1098        -0.1258
         2.1475         1.3350         0.4126         0.0031        -0.0350         0.0396        -0.0290
         2.1478         2.2099         2.7592         0.0208        -0.4603         0.1311        -0.2137
         2.1480         0.4204         0.0980         0.0006        -0.0484        -0.0024        -0.0068
         2.1487         0.4980         0.2605         0.0006        -0.1493         0.0066        -0.0127
         2.1489         0.6101         0.0494         0.0007        -0.0088         0.0165        -0.0040
         2.1492         2.0296         2.1176         0.0117        -0.3556         0.1083        -0.1291
         2.1497         2.4158         2.3806         0.0118        -0.3769         0.1063        -0.1453
         2.1502         2.2259         2.7784         0.0181        -0.5401         0.1235        -0.2027
         2.1514         2.1368         2.6143         0.0200        -0.3505         0.1239        -0.2017
         2.1533         2.0265         2.1715         0.0122        -0.4282         0.0996        -0.1440
         2.1548         2.9138         2.5693         0.0129        -0.4165         0.1072        -0.1652
         2.1549         2.2494         2.9175         0.0187        -0.5308         0.1175        -0.2148
         2.1559         2.2183         2.8169         0.0200        -0.3555         0.1227        -0.2105
         2.1565         2.7519         2.5329         0.0139        -0.4801         0.1099        -0.1715
         2.1570         2.2957         2.9912         0.0207        -0.4642         0.1228        -0.2269
         2.1963         2.6793         1.4418         0.0202        -1.7232         0.2314        -0.1565
         2.1967         2.7708         1.1550         0.0075        -1.0856         0.1201        -0.0879
         2.1971         0.5740         0.8830         0.0048         0.3921         0.0093        -0.0473
         2.1971         2.6500         1.2371         0.0105        -1.2327         0.1339        -0.1121
         2.1979         2.3761         1.1020         0.0146        -1.4827         0.1854        -0.1202
         2.1986         1.8583         1.2591         0.0164        -1.3505         0.1741        -0.1325
         2.1989         0.5982         0.8560         0.0063         0.3541         0.0168        -0.0515
         2.2002         4.1763         1.7299         0.0146        -1.9846         0.2311        -0.1479
         2.2008         1.5130         0.8771         0.0162        -0.9656         0.1492        -0.1149
         2.2008         1.6163         0.7860         0.0127        -0.7977         0.1346        -0.0909
         2.2009         1.4247         0.7765         0.0100        -1.0328         0.1191        -0.0862
         2.2010         0.9477         1.2508         0.0056         0.6099        -0.0025        -0.0707
         2.2010         1.7863         1.3406         0.0048         0.8831         0.0088        -0.0613
         2.2011         0.8414         0.7311         0.0079        -0.6920         0.0803        -0.0724
         2.2013         1.0635         1.4253         0.0154        -0.7690         0.1038        -0.1429
         2.2015         0.7504         1.0933         0.0129        -0.5288         0.0755        -0.1149
         2.2020         0.9391         0.6269         0.0071        -0.7269         0.0809        -0.0653
         2.2026         3.7916         1.7242         0.0186        -1.7341         0.2251        -0.1728
         2.2033         4.1044         2.0301         0.0190        -2.2034         0.2606        -0.1858
         2.2033         1.9009         1.4412         0.0047         0.8595         0.0234        -0.0575
         2.2034         1.7765         1.0627         0.0038         0.4073        -0.0017        -0.0614
         2.2034         0.5615         0.7832         0.0068         0.3564         0.0127        -0.0520
         2.2038         1.6696         1.2402         0.0044         0.8848        -0.0016        -0.0591
         2.2042         1.5902         1.2937         0.0143        -0.9350         0.1273        -0.1299
         2.2043         0.9425         1.2878         0.0144        -1.0250         0.1123        -0.1353
         2.2044         0.0787         0.3452         0.0054        -0.1254         0.0179        -0.0424
         2.2045         2.0115         1.7678         0.0170        -1.2411         0.1575        -0.1658
         2.2049         1.7542         1.0884         0.0046         0.4607         0.0042        -0.0654
         2.2051         0.4825         0.3098         0.0035        -0.3277         0.0408        -0.0255
         2.2052         4.0546         2.0276         0.0218        -2.1142         0.2735        -0.1985
         2.2053         0.8401         0.8870         0.0093        -0.5270         0.0676        -0.0888
         2.2053         1.3199         1.5908         0.0079         0.6710         0.0130        -0.0919
         2.2055         1.3986         0.6993         0.0023         0.1793         0.0139        -0.0362
         2.2057         0.9311         1.1749         0.0146        -0.8842         0.1111        -0.1268
         2.2064         0.7887         1.0602         0.0075         0.4648         0.0145        -0.0666
         2.2066         1.9516         1.5132         0.0039         0.8802         0.0243        -0.0526
         2.2067         2.6439         1.8224         0.0210        -1.6246         0.2147        -0.1864
         2.2067         1.1827         1.1863         0.0113        -0.7663         0.0973        -0.1106
         2.2070         2.5258         1.9340         0.0208        -1.5847         0.2044        -0.1913
         2.2071         2.0511         1.5513         0.0045         1.0410         0.0020        -0.0665
         2.2075         2.1179         1.6532         0.0042         1.0194         0.0161        -0.0614
         2.2077         1.2489         0.5792         0.0014         0.3820        -0.0078        -0.0275
         2.2081         1.6448         1.0122         0.0093        -0.8705         0.0952        -0.0959
         2.2084         1.9042         1.8734         0.0148        -1.2774         0.1471        -0.1575
         2.2088         0.1705         0.0380         0.0007         0.0782        -0.0110        -0.0047
         2.2091         1.1296         0.4758         0.0014         0.4024        -0.0116        -0.0250
         2.2093         2.1172         1.4529         0.0130        -1.1785         0.1418        -0.1320
         2.2093         1.9288         1.9704         0.0145        -1.4262         0.1515        -0.1607
         2.2097         0.2568         0.0091         0.0002         0.0121        -0.0072         0.0002
         2.2099         1.7793         1.1596         0.0056         0.4643         0.0178        -0.0705
         2.2100         0.0157         0.4794         0.0032        -0.0826         0.0070        -0.0388
         2.2101         2.4614         1.0555         0.0090        -1.4797         0.1484        -0.0862
         2.2104         1.3837         0.7097         0.0016         0.4070        -0.0031        -0.0319
