 #  energy  x  y  z  sp  sm
         0.0680         1.0968         1.0965         1.0009         1.0975         1.0958
         0.0687         1.0968         1.0965         1.0009         1.0975         1.0958
         0.0693         1.0968         1.0965         1.0009         1.0975         1.0958
         0.0700         1.0968         1.0966         1.0009         1.0975         1.0959
         0.0707         1.0969         1.0966         1.0009         1.0976         1.0959
         0.0713         1.0969         1.0966         1.0009         1.0976         1.0959
         0.0720         1.0969         1.0966         1.0009         1.0976         1.0959
         0.0727         1.0969         1.0967         1.0009         1.0976         1.0960
         0.0733         1.0970         1.0967         1.0009         1.0976         1.0960
         0.0740         1.0970         1.0967         1.0009         1.0977         1.0960
         0.0747         1.0970         1.0967         1.0009         1.0977         1.0960
         0.0753         1.0970         1.0967         1.0009         1.0977         1.0961
         0.0760         1.0971         1.0968         1.0009         1.0977         1.0961
         0.0767         1.0971         1.0968         1.0009         1.0978         1.0961
         0.0773         1.0971         1.0968         1.0009         1.0978         1.0961
         0.0780         1.0971         1.0968         1.0009         1.0978         1.0961
         0.0787         1.0972         1.0969         1.0009         1.0978         1.0962
         0.0793         1.0972         1.0969         1.0009         1.0979         1.0962
         0.0800         1.0972         1.0969         1.0009         1.0979         1.0962
         0.0807         1.0972         1.0969         1.0009         1.0979         1.0962
         0.0813         1.0972         1.0969         1.0009         1.0979         1.0963
         0.0820         1.0973         1.0970         1.0009         1.0980         1.0963
         0.0827         1.0973         1.0970         1.0009         1.0980         1.0963
         0.0833         1.0973         1.0970         1.0009         1.0980         1.0963
         0.0840         1.0973         1.0970         1.0009         1.0980         1.0964
         0.0847         1.0974         1.0971         1.0009         1.0981         1.0964
         0.0853         1.0974         1.0971         1.0009         1.0981         1.0964
         0.0860         1.0974         1.0971         1.0009         1.0981         1.0964
         0.0867         1.0974         1.0971         1.0009         1.0981         1.0965
         0.0873         1.0975         1.0972         1.0009         1.0981         1.0965
         0.0880         1.0975         1.0972         1.0009         1.0982         1.0965
         0.0887         1.0975         1.0972         1.0009         1.0982         1.0965
         0.0893         1.0975         1.0972         1.0009         1.0982         1.0965
         0.0900         1.0976         1.0972         1.0009         1.0982         1.0966
         0.0907         1.0976         1.0973         1.0009         1.0983         1.0966
         0.0913         1.0976         1.0973         1.0009         1.0983         1.0966
         0.0920         1.0976         1.0973         1.0009         1.0983         1.0966
         0.0927         1.0977         1.0973         1.0009         1.0983         1.0967
         0.0933         1.0977         1.0974         1.0009         1.0984         1.0967
         0.0940         1.0977         1.0974         1.0009         1.0984         1.0967
         0.0947         1.0977         1.0974         1.0009         1.0984         1.0967
         0.0953         1.0978         1.0974         1.0009         1.0984         1.0968
         0.0960         1.0978         1.0975         1.0009         1.0985         1.0968
         0.0967         1.0978         1.0975         1.0009         1.0985         1.0968
         0.0973         1.0978         1.0975         1.0009         1.0985         1.0968
         0.0980         1.0979         1.0975         1.0009         1.0985         1.0968
         0.0987         1.0979         1.0975         1.0009         1.0986         1.0969
         0.0993         1.0979         1.0976         1.0009         1.0986         1.0969
         0.1000         1.0979         1.0976         1.0009         1.0986         1.0969
         0.1007         1.0979         1.0976         1.0009         1.0986         1.0969
         0.1013         1.0980         1.0976         1.0009         1.0986         1.0970
         0.1020         1.0980         1.0977         1.0009         1.0987         1.0970
         0.1027         1.0980         1.0977         1.0009         1.0987         1.0970
         0.1033         1.0980         1.0977         1.0009         1.0987         1.0970
         0.1040         1.0981         1.0977         1.0009         1.0987         1.0971
         0.1047         1.0981         1.0978         1.0009         1.0988         1.0971
         0.1053         1.0981         1.0978         1.0009         1.0988         1.0971
         0.1060         1.0981         1.0978         1.0009         1.0988         1.0971
         0.1067         1.0982         1.0978         1.0009         1.0988         1.0972
         0.1073         1.0982         1.0979         1.0009         1.0989         1.0972
         0.1080         1.0982         1.0979         1.0009         1.0989         1.0972
         0.1087         1.0982         1.0979         1.0009         1.0989         1.0972
         0.1093         1.0983         1.0979         1.0009         1.0989         1.0973
         0.1100         1.0983         1.0979         1.0009         1.0990         1.0973
         0.1107         1.0983         1.0980         1.0009         1.0990         1.0973
         0.1113         1.0983         1.0980         1.0009         1.0990         1.0973
         0.1120         1.0984         1.0980         1.0009         1.0990         1.0973
         0.1127         1.0984         1.0980         1.0009         1.0991         1.0974
         0.1133         1.0984         1.0981         1.0009         1.0991         1.0974
         0.1140         1.0984         1.0981         1.0009         1.0991         1.0974
         0.1147         1.0985         1.0981         1.0009         1.0991         1.0974
         0.1153         1.0985         1.0981         1.0009         1.0992         1.0975
         0.1160         1.0985         1.0982         1.0009         1.0992         1.0975
         0.1167         1.0985         1.0982         1.0009         1.0992         1.0975
         0.1173         1.0986         1.0982         1.0009         1.0992         1.0975
         0.1180         1.0986         1.0982         1.0009         1.0993         1.0976
         0.1187         1.0986         1.0982         1.0009         1.0993         1.0976
         0.1193         1.0986         1.0983         1.0009         1.0993         1.0976
         0.1200         1.0987         1.0983         1.0009         1.0993         1.0976
         0.1207         1.0987         1.0983         1.0009         1.0994         1.0977
         0.1213         1.0987         1.0983         1.0009         1.0994         1.0977
         0.1220         1.0987         1.0984         1.0009         1.0994         1.0977
         0.1227         1.0988         1.0984         1.0009         1.0994         1.0977
         0.1233         1.0988         1.0984         1.0009         1.0994         1.0978
         0.1240         1.0988         1.0984         1.0009         1.0995         1.0978
         0.1247         1.0988         1.0985         1.0009         1.0995         1.0978
         0.1253         1.0989         1.0985         1.0009         1.0995         1.0978
         0.1260         1.0989         1.0985         1.0009         1.0995         1.0978
         0.1267         1.0989         1.0985         1.0009         1.0996         1.0979
         0.1273         1.0989         1.0986         1.0009         1.0996         1.0979
         0.1280         1.0990         1.0986         1.0009         1.0996         1.0979
         0.1287         1.0990         1.0986         1.0009         1.0996         1.0979
         0.1293         1.0990         1.0986         1.0009         1.0997         1.0980
         0.1300         1.0990         1.0987         1.0009         1.0997         1.0980
         0.1307         1.0991         1.0987         1.0009         1.0997         1.0980
         0.1313         1.0991         1.0987         1.0009         1.0997         1.0980
         0.1320         1.0991         1.0987         1.0009         1.0998         1.0981
         0.1327         1.0991         1.0987         1.0009         1.0998         1.0981
         0.1333         1.0992         1.0988         1.0009         1.0998         1.0981
         0.1340         1.0992         1.0988         1.0009         1.0998         1.0981
         0.1347         1.0992         1.0988         1.0009         1.0999         1.0982
         0.1353         1.0992         1.0988         1.0009         1.0999         1.0982
         0.1360         1.0993         1.0989         1.0009         1.0999         1.0982
         0.1367         1.0993         1.0989         1.0009         1.0999         1.0982
         0.1373         1.0993         1.0989         1.0009         1.1000         1.0983
         0.1380         1.0993         1.0989         1.0009         1.1000         1.0983
         0.1387         1.0994         1.0990         1.0009         1.1000         1.0983
         0.1393         1.0994         1.0990         1.0009         1.1000         1.0983
         0.1400         1.0994         1.0990         1.0009         1.1001         1.0984
         0.1407         1.0994         1.0990         1.0009         1.1001         1.0984
         0.1413         1.0995         1.0991         1.0009         1.1001         1.0984
         0.1420         1.0995         1.0991         1.0009         1.1001         1.0984
         0.1427         1.0995         1.0991         1.0009         1.1002         1.0985
         0.1433         1.0995         1.0991         1.0009         1.1002         1.0985
         0.1440         1.0996         1.0992         1.0009         1.1002         1.0985
         0.1447         1.0996         1.0992         1.0009         1.1002         1.0985
         0.1453         1.0996         1.0992         1.0009         1.1003         1.0986
         0.1460         1.0996         1.0992         1.0009         1.1003         1.0986
         0.1467         1.0997         1.0992         1.0009         1.1003         1.0986
         0.1473         1.0997         1.0993         1.0009         1.1003         1.0986
         0.1480         1.0997         1.0993         1.0009         1.1004         1.0986
         0.1487         1.0997         1.0993         1.0009         1.1004         1.0987
         0.1493         1.0998         1.0993         1.0009         1.1004         1.0987
         0.1500         1.0998         1.0994         1.0009         1.1004         1.0987
         0.1507         1.0998         1.0994         1.0009         1.1005         1.0987
         0.1513         1.0998         1.0994         1.0009         1.1005         1.0988
         0.1520         1.0999         1.0994         1.0009         1.1005         1.0988
         0.1527         1.0999         1.0995         1.0009         1.1005         1.0988
         0.1533         1.0999         1.0995         1.0009         1.1006         1.0988
