 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0020         0.0020         0.0000         1.0000         0.6760         1.0000
         0.0007         0.0020         0.0020         0.0000         1.0000         0.6759         1.0000
         0.0013         0.0020         0.0020         0.0000         1.0000         0.6759         1.0000
         0.0020         0.0020         0.0020         0.0000         1.0000         0.6759         1.0000
         0.0027         0.0020         0.0020         0.0000         1.0000         0.6758         1.0000
         0.0033         0.0020         0.0020         0.0000         1.0000         0.6758         1.0000
         0.0040         0.0020         0.0020         0.0000         1.0000         0.6758         1.0000
         0.0047         0.0020         0.0020         0.0000         1.0000         0.6757         1.0000
         0.0053         0.0020         0.0020         0.0000         1.0000         0.6757         1.0000
         0.0060         0.0020         0.0020         0.0000         1.0000         0.6757         1.0000
         0.0067         0.0020         0.0020         0.0000         1.0000         0.6756         1.0000
         0.0073         0.0020         0.0020         0.0000         1.0000         0.6756         1.0000
         0.0080         0.0020         0.0020         0.0000         1.0000         0.6756         1.0000
         0.0087         0.0020         0.0020         0.0000         1.0000         0.6755         1.0000
         0.0093         0.0020         0.0020         0.0000         1.0000         0.6755         1.0000
         0.0100         0.0020         0.0020         0.0000         1.0000         0.6755         1.0000
         0.0107         0.0020         0.0020         0.0000         1.0000         0.6754         1.0000
         0.0113         0.0020         0.0020         0.0000         1.0000         0.6754         1.0000
         0.0120         0.0020         0.0020         0.0000         1.0000         0.6754         1.0000
         0.0127         0.0020         0.0020         0.0000         1.0000         0.6753         1.0000
         0.0133         0.0021         0.0020         0.0000         1.0000         0.6753         1.0000
         0.0140         0.0021         0.0020         0.0000         1.0000         0.6753         1.0000
         0.0147         0.0021         0.0020         0.0000         1.0000         0.6752         1.0000
         0.0153         0.0021         0.0020         0.0000         1.0000         0.6752         1.0000
         0.0160         0.0021         0.0020         0.0000         1.0000         0.6752         1.0000
         0.0167         0.0021         0.0020         0.0000         1.0000         0.6751         1.0000
         0.0173         0.0021         0.0020         0.0000         1.0000         0.6751         1.0000
         0.0180         0.0021         0.0020         0.0000         1.0000         0.6751         1.0000
         0.0187         0.0021         0.0020         0.0000         1.0000         0.6750         1.0000
         0.0193         0.0021         0.0021         0.0000         1.0000         0.6750         1.0000
         0.0200         0.0021         0.0021         0.0000         1.0000         0.6750         1.0000
         0.0207         0.0021         0.0021         0.0000         1.0000         0.6749         1.0000
         0.0213         0.0021         0.0021         0.0000         1.0000         0.6749         1.0000
         0.0220         0.0021         0.0021         0.0000         1.0000         0.6749         1.0000
         0.0227         0.0021         0.0021         0.0000         1.0000         0.6748         1.0000
         0.0233         0.0021         0.0021         0.0000         1.0000         0.6748         1.0000
