 #  exciton energy  xx  yy  zz xy  xz  yz
         2.1286         1.2627         0.4911         0.0033        -0.0301         0.0425        -0.0315
         2.1321         0.1978         0.0754         0.0004        -0.1069         0.0090        -0.0050
         2.1342         0.0474         0.0105         0.0002         0.0223         0.0001        -0.0000
         2.1357         1.0004         1.6872         0.0088         0.0334         0.0505        -0.1010
         2.1360         0.0786         0.1520         0.0011         0.0148         0.0001        -0.0130
         2.1361         2.4363         1.0715         0.0068        -0.3004         0.0789        -0.0763
         2.1365         0.0423         0.1249         0.0009        -0.0484         0.0063        -0.0081
         2.1370         0.1427         0.0292         0.0003        -0.0646         0.0060        -0.0027
         2.1398         0.1134         0.0324         0.0001         0.0066         0.0025        -0.0012
         2.1403         0.2383         0.1637         0.0019        -0.0550         0.0130        -0.0162
         2.1409         0.8682         0.2757         0.0021        -0.0953         0.0281        -0.0212
         2.1415         3.6642         1.2125         0.0079        -0.1832         0.1151        -0.0773
         2.1423         2.7042         0.4076         0.0026         0.1480         0.0434        -0.0252
         2.1425         1.4310         0.1429         0.0005         0.2885         0.0192        -0.0008
         2.1429         0.0315         0.4413         0.0028         0.0817        -0.0033        -0.0321
         2.1433         0.1781         0.0222         0.0001        -0.0152         0.0030        -0.0007
         2.1441         0.1936         0.0173         0.0002         0.0579         0.0044         0.0014
         2.1461         4.5157        10.2628         0.0674         4.4098        -0.0322        -0.6641
         2.1470         0.4555         0.2235         0.0020         0.0177         0.0216        -0.0138
         2.1471         0.0941         0.2102         0.0016        -0.1402         0.0111        -0.0171
         2.1473         0.3124         0.1355         0.0007         0.1037         0.0052        -0.0060
         2.1480        10.2054         8.3922         0.0431         0.0457         0.3419        -0.5136
         2.1501         0.4826         0.2994         0.0033        -0.3009         0.0354        -0.0312
         2.1502         1.9809         1.3910         0.0091        -0.2417         0.0845        -0.0967
         2.1506         0.0644         0.1088         0.0003         0.0432        -0.0021        -0.0060
         2.1514         0.2616         0.4832         0.0015         0.0101         0.0063        -0.0253
         2.1520        13.4618        15.4084         0.0522         5.4787        -0.0683        -0.8542
         2.1544         0.9155         0.6441         0.0038        -0.0876         0.0299        -0.0454
         2.1547         0.1228         0.0390         0.0004        -0.0146         0.0045        -0.0035
         2.1553         2.5808         1.1402         0.0039         0.7505         0.0532        -0.0357
         2.1565         0.4210         0.4792         0.0018        -0.0524         0.0046        -0.0297
         2.1577         0.0541         0.0296         0.0000         0.0020        -0.0004        -0.0006
         2.1578         0.0213         0.0495         0.0004        -0.0236         0.0024        -0.0045
         2.1586         0.0500         0.0839         0.0007        -0.0586         0.0055        -0.0075
         2.1587         0.0620         0.0784         0.0002        -0.0531         0.0035        -0.0034
         2.1595         0.0305         0.0768         0.0003         0.0093        -0.0002        -0.0051
         2.1600         0.1838         0.0848         0.0005         0.0552         0.0059        -0.0031
         2.1614         1.9713         0.6969         0.0020         0.9528        -0.0431        -0.0367
         2.1615         0.0534         0.0659         0.0007        -0.0578         0.0059        -0.0068
         2.1624         0.0099         0.0008         0.0000         0.0028         0.0004         0.0001
