 #  energy  xx  yy  zz  sp  sm
         3.0899         0.4650         1.0795         0.0003         0.8520         0.6924
         3.0900         0.2875         0.9309         0.0040         0.5518         0.6666
         3.0903         0.9206         1.0359         0.0146         1.2429         0.7136
         3.0903         0.6744         1.0251         0.0072         0.6733         1.0262
         3.0903         0.2349         0.8371         0.0029         0.4813         0.5908
         3.0904         0.4525         1.0528         0.0007         0.8359         0.6694
         3.0904         0.9658         1.1155         0.0161         1.2222         0.8590
         3.0909         0.5464         0.6564         0.0010         0.5102         0.6926
         3.0909         0.8030         0.8530         0.0003         0.8187         0.8373
         3.0909         0.7652         0.3884         0.0048         0.4581         0.6955
         3.0913         0.6668         1.1659         0.0088         0.7352         1.0975
         3.0914         0.8954         0.2878         0.0101         0.5590         0.6242
         3.0916         1.7140         1.3339         0.0132         1.4512         1.5967
         3.0916         0.8729         0.8609         0.0044         1.0544         0.6794
         3.0918         0.2568         0.4008         0.0018         0.2929         0.3648
         3.0923         0.6040         1.1817         0.0077         1.0682         0.7174
         3.0924         0.6043         0.7372         0.0013         0.6291         0.7124
         3.0924         0.2251         0.5384         0.0013         0.2674         0.4960
         3.0924         0.6753         0.4267         0.0029         0.4481         0.6539
         3.0925         0.1900         0.3503         0.0015         0.2371         0.3032
         3.0928         0.7867         0.2690         0.0090         0.4300         0.6257
         3.0928         1.0308         0.8475         0.0055         1.0920         0.7863
         3.0930         0.8280         0.8036         0.0163         0.6695         0.9621
         3.0931         1.0427         0.6516         0.0169         0.4739         1.2204
         3.0931         0.9466         1.0406         0.0001         1.1271         0.8601
         3.0933         0.8338         0.8929         0.0004         0.8698         0.8569
         3.0935         0.8105         0.2899         0.0105         0.4273         0.6730
         3.0936         0.5075         0.9990         0.0064         0.9014         0.6050
         3.0937         1.5183         1.0126         0.0135         1.2741         1.2568
         3.0938         0.2098         0.4962         0.0019         0.2559         0.4501
         3.0938         0.8297         1.2000         0.0157         0.6219         1.4078
         3.0939         0.5976         0.7247         0.0012         0.6217         0.7007
         3.0944         0.8739         0.9223         0.0004         1.0156         0.7807
         3.0945         0.1528         0.2419         0.0005         0.1909         0.2038
         3.0948         1.1884         0.7593         0.0115         0.9779         0.9698
         3.0948         1.2732         0.9278         0.0085         1.3366         0.8644
         3.0949         0.6517         1.2819         0.0087         1.1004         0.8332
         3.0949         0.2688         0.4190         0.0019         0.3074         0.3803
         3.0950         0.8108         1.3285         0.0189         0.7216         1.4176
         3.0952         0.9498         1.0021         0.0189         0.7943         1.1577
         3.0954         0.5258         0.7921         0.0042         0.7776         0.5403
         3.0955         0.7974         0.7674         0.0128         1.0428         0.5220
         3.0956         0.6271         0.7687         0.0013         0.6583         0.7375
         3.0958         0.8819         1.2157         0.0173         0.6374         1.4602
         3.0959         0.4164         0.3542         0.0014         0.4067         0.3639
         3.0961         0.7900         0.6079         0.0089         0.9776         0.4203
         3.0962         0.7459         0.4561         0.0039         0.4671         0.7349
         3.0964         0.8091         0.8733         0.0140         0.9972         0.6853
         3.0966         1.3474         1.8373         0.0162         1.3473         1.8374
         3.0967         0.7091         0.4719         0.0032         0.4754         0.7056
         3.0969         1.2690         0.9103         0.0090         1.3117         0.8676
         3.0969         0.1868         0.2660         0.0009         0.2884         0.1645
         3.0969         0.4681         1.0846         0.0003         0.8583         0.6943
         3.0970         0.9394         1.3268         0.0110         0.9994         1.2668
         3.0971         0.4556         1.0514         0.0003         0.8379         0.6691
         3.0972         0.7890         1.2917         0.0186         0.6956         1.3851
         3.0973         0.2259         0.5336         0.0016         0.2715         0.4880
         3.0973         1.1357         1.1542         0.0198         0.5697         1.7202
         3.0974         0.9471         1.0289         0.0003         1.1144         0.8617
         3.0974         0.9574         1.3991         0.0104         1.0923         1.2643
         3.0974         0.2748         0.8975         0.0034         0.5329         0.6394
         3.0975         1.3152         1.0781         0.0074         1.4501         0.9433
         3.0975         0.7061         0.6203         0.0035         0.6422         0.6842
         3.0975         1.2049         1.0900         0.0073         1.3917         0.9032
         3.0976         0.1355         0.2209         0.0007         0.2280         0.1284
         3.0978         0.1470         0.2326         0.0005         0.1852         0.1944
         3.0979         0.2014         0.2959         0.0002         0.2474         0.2498
         3.0979         0.2389         0.8535         0.0033         0.4907         0.6018
         3.0981         0.7950         1.2961         0.0183         0.7112         1.3799
         3.0981         0.8705         0.9382         0.0160         0.7219         1.0868
         3.0984         0.8952         1.2502         0.0165         0.6752         1.4701
         3.0985         1.2196         1.1337         0.0132         1.3845         0.9688
         3.0986         0.8621         0.6967         0.0097         1.0544         0.5044
         3.0990         1.3132         0.9789         0.0082         1.3914         0.9007
         3.0990         1.1488         1.1624         0.0126         1.3496         0.9616
         3.0991         0.9433         0.7753         0.0091         1.1705         0.5482
         3.0995         0.3305         0.0556         0.0044         0.0698         0.3163
         3.0998         0.4663         1.0782         0.0002         0.8576         0.6869
         3.1000         0.6419         0.1619         0.0023         0.4488         0.3550
         3.1003         0.1947         0.2714         0.0005         0.2996         0.1665
         3.1004         0.9667         1.0766         0.0186         0.8061         1.2373
         3.1006         0.1388         0.6906         0.0030         0.3447         0.4848
         3.1014         0.4451         0.0854         0.0052         0.2828         0.2477
         3.1018         0.2532         0.8667         0.0035         0.5099         0.6099
         3.1019         0.4847         0.9297         0.0041         0.7989         0.6155
         3.1021         0.5025         0.5507         0.0097         0.6889         0.3643
         3.1022         1.3463         1.1498         0.0139         1.4633         1.0328
         3.1022         0.2962         0.1297         0.0023         0.2166         0.2093
         3.1023         0.8537         0.6530         0.0083         1.0165         0.4902
         3.1024         0.7534         1.2369         0.0191         0.6690         1.3213
         3.1024         0.9762         1.2564         0.0176         0.6868         1.5458
         3.1024         1.2327         1.2477         0.0118         1.4533         1.0271
         3.1026         0.5834         0.1604         0.0017         0.4460         0.2978
         3.1027         0.1107         0.1963         0.0006         0.1977         0.1093
         3.1028         1.5181         1.2522         0.0192         0.9825         1.7878
         3.1031         0.5528         0.5855         0.0101         0.7131         0.4252
         3.1032         0.8582         0.8869         0.0163         0.6958         1.0493
         3.1032         0.8246         0.7832         0.0161         0.6384         0.9695
         3.1037         1.2623         0.8812         0.0081         1.2804         0.8630
         3.1044         0.4436         0.8665         0.0002         0.5613         0.7488
         3.1045         0.1036         0.1703         0.0002         0.1319         0.1419
         3.1047         0.7896         1.2786         0.0173         0.7035         1.3647
         3.1047         1.1942         0.9865         0.0159         0.5701         1.6105
         3.1047         0.8914         1.2254         0.0166         0.6569         1.4599
         3.1048         0.3215         0.0647         0.0043         0.1828         0.2033
         3.1049         0.9705         0.8520         0.0095         1.2189         0.6037
         3.1051         0.1812         0.1802         0.0027         0.1515         0.2099
         3.1052         0.5535         0.1472         0.0075         0.3858         0.3149
         3.1052         0.1780         0.2697         0.0001         0.2263         0.2214
         3.1055         1.3034         0.9653         0.0081         1.3837         0.8850
         3.1056         0.7810         0.6056         0.0074         0.9621         0.4246
         3.1057         1.1225         0.8307         0.0072         0.9410         1.0122
         3.1057         0.3339         0.1254         0.0022         0.2226         0.2366
         3.1057         0.5201         0.1572         0.0016         0.3926         0.2846
         3.1059         0.2871         0.7412         0.0015         0.6693         0.3590
         3.1060         0.1866         0.1491         0.0004         0.2022         0.1336
         3.1062         0.1322         0.2028         0.0005         0.2230         0.1119
         3.1062         1.2850         1.1485         0.0118         1.4424         0.9912
         3.1063         0.6340         0.1532         0.0029         0.4098         0.3774
         3.1064         1.3265         1.1043         0.0132         1.4257         1.0051
         3.1064         0.4963         0.7499         0.0051         0.4945         0.7517
         3.1067         0.1727         0.2061         0.0020         0.1740         0.2047
         3.1067         0.9353         1.2237         0.0165         0.6596         1.4994
         3.1067         0.7624         1.2415         0.0182         0.6791         1.3248
         3.1069         0.4512         0.7573         0.0047         0.4969         0.7116
         3.1072         0.1955         0.1298         0.0053         0.1922         0.1330
         3.1073         0.4266         0.2450         0.0040         0.2447         0.4270
         3.1077         0.3134         0.8126         0.0019         0.7291         0.3969
         3.1078         0.9769         0.6682         0.0062         0.7679         0.8771
         3.1079         0.0967         0.1658         0.0008         0.1761         0.0865
         3.1079         0.3765         0.5436         0.0010         0.5717         0.3484
         3.1080         0.6310         0.1684         0.0024         0.4643         0.3350
         3.1082         0.1727         0.1343         0.0036         0.1554         0.1516
         3.1083         0.1052         0.1772         0.0001         0.1393         0.1431
         3.1083         1.2467         0.8755         0.0075         1.2868         0.8354
         3.1087         1.0669         0.7287         0.0057         0.8517         0.9439
         3.1088         0.4977         0.9544         0.0003         0.6051         0.8471
         3.1089         0.3763         0.6966         0.0003         0.4473         0.6256
         3.1090         0.2713         0.6703         0.0017         0.6343         0.3073
         3.1091         0.1027         0.2023         0.0014         0.0736         0.2314
         3.1095         0.5507         0.2864         0.0047         0.3210         0.5161
         3.1097         0.1180         0.2925         0.0012         0.2423         0.1681
         3.1099         0.4362         0.6785         0.0043         0.4255         0.6892
         3.1099         0.1078         0.0790         0.0002         0.0682         0.1187
         3.1100         0.5105         1.0301         0.0011         0.4951         1.0455
         3.1100         0.1132         0.0931         0.0026         0.0822         0.1242
         3.1102         0.3132         0.1161         0.0018         0.2363         0.1930
         3.1103         0.7256         0.1733         0.0055         0.4008         0.4980
         3.1104         0.7288         0.1695         0.0059         0.4208         0.4774
         3.1105         0.2584         0.0422         0.0002         0.1866         0.1140
         3.1110         0.3015         0.1181         0.0019         0.1209         0.2987
         3.1111         0.0441         0.1479         0.0015         0.0413         0.1507
         3.1114         0.1113         0.0775         0.0008         0.1857         0.0031
         3.1114         0.1245         0.2505         0.0010         0.0990         0.2760
         3.1116         0.5403         1.0598         0.0014         0.5062         1.0940
         3.1116         0.4613         0.1402         0.0021         0.2650         0.3365
         3.1117         0.7558         0.1969         0.0071         0.4827         0.4701
         3.1117         0.9686         0.5912         0.0058         0.7368         0.8230
         3.1119         0.1176         0.2953         0.0017         0.2434         0.1694
         3.1120         0.5890         1.2293         0.0035         1.2169         0.6014
         3.1121         0.4349         0.1119         0.0006         0.3097         0.2371
         3.1121         0.3633         0.7449         0.0039         0.4649         0.6434
         3.1125         0.3199         0.7840         0.0021         0.7301         0.3738
         3.1126         0.0563         0.1040         0.0013         0.0056         0.1547
         3.1127         0.3504         0.0824         0.0015         0.2065         0.2263
         3.1128         0.1344         0.1385         0.0015         0.1630         0.1098
         3.1128         0.5062         0.1615         0.0066         0.3642         0.3036
         3.1129         0.0829         0.1330         0.0009         0.2018         0.0141
         3.1131         1.1011         0.7655         0.0061         0.8909         0.9757
         3.1131         0.3998         1.2447         0.0024         1.0139         0.6305
         3.1133         0.2112         0.1424         0.0032         0.1502         0.2033
         3.1135         0.0861         0.1718         0.0006         0.0580         0.2000
         3.1138         0.3829         0.8389         0.0041         0.8405         0.3814
         3.1138         0.1312         0.3246         0.0012         0.2695         0.1863
         3.1140         1.1772         0.8254         0.0079         0.9783         1.0243
         3.1141         0.3703         0.6027         0.0004         0.5799         0.3931
         3.1142         0.1628         0.3784         0.0012         0.2665         0.2747
         3.1143         0.0883         0.2709         0.0021         0.1725         0.1866
         3.1144         0.5222         1.1712         0.0009         0.5295         1.1639
         3.1145         0.2984         0.7184         0.0020         0.6917         0.3252
         3.1147         0.4271         0.7533         0.0040         0.4819         0.6985
         3.1149         0.4194         1.2304         0.0025         1.0553         0.5945
         3.1149         0.5786         0.1333         0.0021         0.3788         0.3331
         3.1150         0.0912         0.0506         0.0015         0.1341         0.0077
         3.1150         0.5165         0.2365         0.0067         0.4038         0.3492
         3.1150         0.8092         0.2423         0.0038         0.5222         0.5294
         3.1151         0.5955         1.1181         0.0013         0.5565         1.1570
         3.1155         0.0489         0.1229         0.0012         0.0434         0.1284
         3.1158         0.7223         0.2098         0.0065         0.4786         0.4535
         3.1159         0.1060         0.0673         0.0010         0.0360         0.1372
         3.1161         0.2100         0.0314         0.0001         0.1426         0.0988
         3.1162         0.3206         0.7540         0.0022         0.7215         0.3531
         3.1163         0.3605         0.6520         0.0003         0.3920         0.6205
         3.1163         0.3912         0.7945         0.0037         0.5087         0.6770
         3.1164         0.5047         0.9239         0.0002         0.5680         0.8606
         3.1164         0.1208         0.1083         0.0002         0.1039         0.1252
         3.1164         0.3215         0.0513         0.0004         0.2068         0.1661
         3.1166         0.6745         1.3270         0.0020         1.3586         0.6428
         3.1167         0.1093         0.0911         0.0017         0.0983         0.1021
         3.1167         0.4348         0.8594         0.0005         0.3559         0.9383
         3.1168         0.2255         0.6232         0.0022         0.2368         0.6119
         3.1171         0.1478         0.3403         0.0009         0.2423         0.2458
         3.1173         0.6613         0.1598         0.0066         0.4088         0.4123
         3.1173         0.9777         0.2464         0.0041         1.0220         0.2022
         3.1174         0.0637         0.1491         0.0009         0.1972         0.0156
         3.1175         0.1481         0.1311         0.0014         0.1721         0.1071
         3.1176         0.1860         0.4399         0.0014         0.3073         0.3186
         3.1177         0.0211         0.0767         0.0040         0.0808         0.0171
         3.1178         0.0324         0.0324         0.0030         0.0541         0.0107
         3.1178         0.0984         0.3043         0.0016         0.1910         0.2117
         3.1179         0.5246         0.2211         0.0040         0.3426         0.4032
         3.1180         0.5791         0.2030         0.0063         0.0636         0.7185
         3.1180         0.2912         0.1850         0.0004         0.3020         0.1742
         3.1181         0.4346         1.3105         0.0029         1.0905         0.6546
         3.1184         0.2326         0.6998         0.0033         0.5851         0.3473
         3.1184         0.0142         0.0777         0.0012         0.0159         0.0759
         3.1185         0.0906         0.2724         0.0021         0.1742         0.1888
         3.1185         0.3721         0.0939         0.0013         0.1519         0.3141
         3.1186         0.5699         1.1415         0.0013         0.5496         1.1618
         3.1187         0.1943         0.2389         0.0001         0.2513         0.1819
         3.1189         0.0673         0.0768         0.0008         0.0021         0.1419
         3.1190         0.2671         0.1551         0.0023         0.1851         0.2371
         3.1190         0.0410         0.0241         0.0012         0.0096         0.0555
         3.1191         0.4676         0.1029         0.0014         0.2732         0.2972
         3.1192         0.5511         1.2762         0.0010         0.6006         1.2268
         3.1192         0.1219         0.3108         0.0016         0.2547         0.1780
         3.1195         0.4308         0.7755         0.0001         0.4616         0.7447
         3.1196         0.2712         0.0520         0.0036         0.1449         0.1783
         3.1196         0.2798         0.7687         0.0021         0.3233         0.7252
         3.1198         0.2469         0.1778         0.0003         0.2611         0.1636
         3.1199         0.8953         0.2653         0.0039         0.9896         0.1709
         3.1199         0.4022         0.1214         0.0014         0.2857         0.2379
         3.1199         0.1165         0.2397         0.0008         0.0925         0.2637
         3.1201         0.3947         0.7985         0.0035         0.8387         0.3546
         3.1203         0.7587         0.2511         0.0038         0.4653         0.5445
         3.1203         0.0797         0.0666         0.0015         0.1384         0.0079
         3.1203         0.0629         0.0877         0.0027         0.0576         0.0930
         3.1204         0.6113         0.1891         0.0063         0.0747         0.7258
         3.1208         0.2552         0.7461         0.0028         0.6249         0.3764
         3.1208         0.1377         0.3449         0.0013         0.2853         0.1974
         3.1208         0.0856         0.1231         0.0014         0.2068         0.0019
         3.1209         0.2058         0.6229         0.0025         0.5157         0.3131
         3.1210         0.1683         0.0390         0.0007         0.0487         0.1585
         3.1211         0.1596         0.4959         0.0021         0.1744         0.4811
         3.1213         0.0991         0.2086         0.0004         0.0745         0.2331
         3.1214         0.2485         0.0385         0.0003         0.1253         0.1617
         3.1215         0.7533         0.2182         0.0035         0.4950         0.4765
         3.1217         0.4704         1.2940         0.0025         1.1427         0.6217
         3.1218         0.5151         0.2371         0.0041         0.3802         0.3720
         3.1221         0.0552         0.0092         0.0011         0.0155         0.0488
         3.1222         0.0535         0.1170         0.0011         0.0156         0.1549
         3.1223         0.6743         0.1506         0.0076         0.1063         0.7185
         3.1223         1.0115         0.1708         0.0042         0.9475         0.2348
         3.1226         0.1724         0.3982         0.0021         0.2307         0.3399
         3.1229         0.5964         1.1387         0.0014         0.5467         1.1884
         3.1230         0.0286         0.1046         0.0003         0.0609         0.0723
         3.1231         0.0879         0.1316         0.0004         0.1775         0.0420
         3.1232         0.2307         0.1167         0.0000         0.2286         0.1188
         3.1234         0.0263         0.0559         0.0032         0.0570         0.0251
         3.1237         0.1301         0.3303         0.0014         0.2715         0.1889
         3.1237         0.1720         0.4008         0.0004         0.2879         0.2848
         3.1240         0.5848         0.1490         0.0065         0.3543         0.3795
         3.1240         0.0612         0.0912         0.0009         0.0029         0.1496
         3.1241         0.0575         0.1153         0.0002         0.1169         0.0559
         3.1243         0.6428         1.2753         0.0020         1.3218         0.5963
         3.1243         0.4534         0.8579         0.0005         0.3622         0.9491
         3.1245         0.1836         0.4274         0.0013         0.3037         0.3073
         3.1246         0.5394         1.1267         0.0012         0.5272         1.1389
         3.1246         0.0305         0.0364         0.0004         0.0039         0.0630
         3.1247         0.4720         1.3486         0.0036         1.1526         0.6680
         3.1248         0.4699         0.2181         0.0035         0.3400         0.3480
         3.1248         0.0098         0.0004         0.0012         0.0071         0.0032
         3.1249         0.4232         0.0613         0.0009         0.3912         0.0934
         3.1249         0.1068         0.3253         0.0014         0.2008         0.2313
         3.1250         0.1099         0.2379         0.0008         0.0880         0.2598
         3.1251         0.0259         0.1549         0.0038         0.0890         0.0918
         3.1252         0.0049         0.1097         0.0044         0.0689         0.0457
         3.1252         0.4477         0.0556         0.0012         0.1626         0.3407
         3.1255         0.0959         0.2928         0.0015         0.1823         0.2065
         3.1256         0.0116         0.1056         0.0038         0.0794         0.0378
         3.1257         0.0197         0.0157         0.0008         0.0027         0.0327
         3.1257         0.0850         0.0092         0.0007         0.0481         0.0461
         3.1259         0.0120         0.0092         0.0027         0.0166         0.0046
         3.1260         0.5825         1.3299         0.0003         0.6380         1.2743
         3.1261         0.0219         0.0653         0.0041         0.0813         0.0059
         3.1261         0.2144         0.6364         0.0022         0.5204         0.3304
         3.1261         0.5759         1.1487         0.0028         1.1858         0.5387
         3.1262         0.0357         0.0920         0.0000         0.0641         0.0637
         3.1263         0.2819         0.7890         0.0022         0.3553         0.7156
         3.1265         0.4706         1.3217         0.0032         1.1326         0.6597
         3.1266         0.6960         0.2671         0.0033         0.4590         0.5041
         3.1268         0.1391         0.4935         0.0020         0.1858         0.4468
         3.1268         0.2258         0.6723         0.0021         0.5528         0.3453
         3.1269         0.2855         0.0650         0.0034         0.1600         0.1904
         3.1270         0.4388         0.0503         0.0007         0.1637         0.3254
         3.1274         0.2510         0.5135         0.0016         0.1821         0.5824
         3.1275         0.1948         0.1280         0.0000         0.1643         0.1585
         3.1276         0.9698         0.2146         0.0038         0.9833         0.2011
         3.1277         0.1894         0.4382         0.0005         0.3171         0.3106
         3.1280         0.3719         0.0657         0.0009         0.0959         0.3417
         3.1282         0.1026         0.3126         0.0014         0.1907         0.2245
         3.1283         0.0618         0.0019         0.0017         0.0209         0.0428
         3.1283         0.6323         0.1579         0.0058         0.0880         0.7022
         3.1283         0.2574         0.6898         0.0046         0.6496         0.2976
         3.1285         0.3857         0.0396         0.0013         0.3246         0.1008
         3.1286         0.5647         1.2198         0.0003         0.5730         1.2115
         3.1289         0.9768         0.1509         0.0042         0.8857         0.2420
         3.1289         0.0617         0.0274         0.0013         0.0709         0.0182
         3.1291         0.0136         0.0152         0.0017         0.0050         0.0237
         3.1293         0.2506         0.5515         0.0019         0.2009         0.6012
         3.1293         0.0174         0.0942         0.0037         0.0843         0.0273
         3.1294         0.0334         0.0687         0.0015         0.0882         0.0139
         3.1294         0.2115         0.6464         0.0022         0.5229         0.3349
         3.1294         0.2119         0.6580         0.0021         0.2858         0.5841
         3.1295         0.0596         0.0980         0.0003         0.0863         0.0713
         3.1299         0.3354         0.8605         0.0043         0.8032         0.3927
         3.1300         0.3814         0.1236         0.0007         0.4626         0.0423
         3.1301         0.0969         0.0776         0.0005         0.0217         0.1528
         3.1303         0.1412         0.4075         0.0016         0.2389         0.3098
         3.1303         0.1171         0.0834         0.0000         0.1499         0.0506
         3.1304         0.0396         0.1425         0.0024         0.0969         0.0852
         3.1304         0.2140         0.4452         0.0019         0.1499         0.5093
         3.1305         0.6292         0.1401         0.0058         0.1283         0.6410
         3.1309         0.1837         0.0883         0.0001         0.1723         0.0997
         3.1314         0.0484         0.0224         0.0018         0.0621         0.0088
         3.1315         0.0383         0.0453         0.0004         0.0401         0.0435
         3.1316         0.9299         0.1538         0.0034         0.8763         0.2075
         3.1317         0.0358         0.0417         0.0006         0.0026         0.0749
         3.1318         0.0204         0.0385         0.0032         0.0399         0.0189
         3.1318         0.0106         0.0931         0.0053         0.0829         0.0208
         3.1320         0.0363         0.0504         0.0004         0.0243         0.0624
         3.1321         0.6202         0.2054         0.0028         0.7668         0.0588
         3.1324         0.0501         0.0051         0.0005         0.0257         0.0295
         3.1329         0.0880         0.0431         0.0012         0.1225         0.0086
         3.1330         0.4151         0.0612         0.0006         0.1140         0.3623
         3.1330         0.2054         0.5898         0.0028         0.5439         0.2513
         3.1331         0.0691         0.0301         0.0014         0.0047         0.0945
         3.1332         1.0418         0.2518         0.0043         0.1346         1.1590
         3.1336         0.2005         0.1181         0.0000         0.1647         0.1539
         3.1339         0.0134         0.0228         0.0024         0.0174         0.0187
         3.1340         0.4976         0.1581         0.0045         0.0794         0.5763
         3.1340         0.9846         0.2423         0.0045         0.1250         1.1019
         3.1342         0.0710         0.1033         0.0001         0.1006         0.0738
         3.1342         0.0119         0.0513         0.0009         0.0272         0.0361
         3.1344         0.4727         0.0393         0.0004         0.1237         0.3884
         3.1345         0.0572         0.1629         0.0020         0.0315         0.1886
         3.1346         0.2117         0.4902         0.0020         0.1704         0.5315
         3.1350         0.1963         0.4608         0.0021         0.1541         0.5029
         3.1350         0.0851         0.0015         0.0005         0.0411         0.0455
         3.1351         0.6526         0.2059         0.0029         0.7920         0.0665
         3.1351         0.0277         0.0187         0.0027         0.0309         0.0155
         3.1354         0.0303         0.1107         0.0026         0.0977         0.0433
         3.1355         0.3820         0.0558         0.0023         0.3623         0.0755
         3.1356         0.6832         0.1542         0.0029         0.7402         0.0972
         3.1358         0.3617         0.9304         0.0038         0.8476         0.4445
         3.1359         0.0284         0.0063         0.0006         0.0251         0.0096
         3.1361         0.0159         0.1108         0.0041         0.0955         0.0313
         3.1361         0.0318         0.1044         0.0016         0.0563         0.0798
         3.1363         0.0261         0.0648         0.0005         0.0104         0.0806
         3.1364         0.0540         0.0600         0.0019         0.0851         0.0289
         3.1365         0.3953         1.0231         0.0003         0.7050         0.7135
         3.1367         0.1363         0.0996         0.0003         0.1991         0.0368
         3.1368         0.0226         0.0691         0.0005         0.0352         0.0565
         3.1371         0.0571         0.0947         0.0012         0.1401         0.0118
         3.1372         0.0855         0.0570         0.0015         0.1382         0.0043
         3.1372         0.1919         0.4703         0.0020         0.1566         0.5056
         3.1373         0.0192         0.0285         0.0003         0.0473         0.0005
         3.1374         0.5952         0.0316         0.0005         0.1840         0.4428
         3.1376         0.1334         0.0041         0.0006         0.0726         0.0650
         3.1377         0.0092         0.0068         0.0009         0.0060         0.0100
         3.1378         0.3339         0.9449         0.0029         0.7359         0.5429
         3.1379         0.0347         0.1293         0.0009         0.0413         0.1228
         3.1382         1.0698         0.2277         0.0042         0.1577         1.1399
         3.1383         0.0520         0.0370         0.0021         0.0019         0.0872
         3.1383         0.0754         0.0500         0.0013         0.1192         0.0062
         3.1384         0.0627         0.1034         0.0004         0.1613         0.0049
         3.1387         0.0184         0.0413         0.0034         0.0570         0.0027
         3.1387         0.3767         0.9740         0.0004         0.6792         0.6714
         3.1388         0.0416         0.0755         0.0006         0.0110         0.1061
         3.1390         0.0691         0.0125         0.0005         0.0686         0.0129
         3.1394         0.4647         0.0863         0.0014         0.4729         0.0781
         3.1396         0.2052         0.6337         0.0020         0.5605         0.2783
         3.1398         0.0274         0.1502         0.0011         0.0441         0.1335
         3.1399         0.0484         0.1245         0.0020         0.0119         0.1610
         3.1399         0.4518         0.9018         0.0002         0.5327         0.8209
         3.1401         0.0075         0.0619         0.0019         0.0343         0.0351
         3.1402         0.0186         0.0898         0.0025         0.0807         0.0278
         3.1402         0.6890         0.1635         0.0015         0.7597         0.0928
         3.1403         0.0649         0.0702         0.0018         0.0017         0.1335
         3.1405         0.3287         0.9420         0.0029         0.7264         0.5443
         3.1406         0.0045         0.0328         0.0007         0.0068         0.0305
         3.1406         0.2649         0.5062         0.0009         0.5208         0.2503
         3.1407         1.0345         0.2390         0.0052         0.1398         1.1337
         3.1407         0.2880         0.8239         0.0030         0.7288         0.3831
         3.1407         0.3326         0.6459         0.0013         0.6425         0.3360
         3.1407         0.4153         1.0702         0.0002         0.7324         0.7531
         3.1410         0.4370         0.8582         0.0002         0.5009         0.7942
         3.1413         0.3274         0.9214         0.0026         0.7162         0.5326
         3.1413         0.1179         0.0055         0.0003         0.0674         0.0559
         3.1413         0.0084         0.0315         0.0000         0.0340         0.0059
         3.1414         0.0551         0.1420         0.0015         0.0272         0.1699
         3.1416         0.0159         0.0818         0.0003         0.0531         0.0446
         3.1420         0.0339         0.0513         0.0004         0.0044         0.0808
         3.1420         0.5647         0.0463         0.0022         0.4630         0.1480
         3.1422         0.0309         0.0558         0.0004         0.0277         0.0590
         3.1425         0.0534         0.1438         0.0023         0.0463         0.1510
         3.1425         0.0348         0.1271         0.0008         0.0193         0.1427
         3.1430         0.0600         0.1759         0.0051         0.2173         0.0186
         3.1432         0.6293         0.1598         0.0023         0.7002         0.0889
         3.1436         0.0671         0.0710         0.0012         0.1252         0.0129
         3.1437         0.4997         0.9772         0.0001         0.5714         0.9055
         3.1442         0.0734         0.0764         0.0001         0.1447         0.0052
         3.1442         0.0364         0.0572         0.0015         0.0015         0.0921
         3.1442         0.0581         0.1499         0.0006         0.0241         0.1839
         3.1444         0.0298         0.0246         0.0033         0.0147         0.0397
         3.1445         0.0120         0.1079         0.0021         0.0892         0.0307
         3.1446         0.0687         0.1622         0.0046         0.2198         0.0112
         3.1446         0.0199         0.1066         0.0010         0.1067         0.0198
         3.1447         0.0502         0.1325         0.0044         0.1729         0.0098
         3.1451         1.0506         0.2530         0.0038         0.1362         1.1673
         3.1452         0.0365         0.0365         0.0023         0.0048         0.0682
         3.1453         0.4213         0.7460         0.0021         0.7781         0.3891
         3.1454         0.5318         0.1721         0.0010         0.6485         0.0554
         3.1454         0.0233         0.1176         0.0017         0.1227         0.0182
         3.1456         0.0568         0.1235         0.0017         0.0505         0.1299
         3.1457         0.0678         0.1247         0.0040         0.1732         0.0193
         3.1457         0.0941         0.1373         0.0005         0.2089         0.0225
         3.1458         0.2615         0.4783         0.0014         0.5199         0.2199
         3.1458         0.0548         0.0941         0.0011         0.0051         0.1438
         3.1459         0.0648         0.0876         0.0005         0.1502         0.0022
         3.1460         0.0349         0.0768         0.0016         0.0054         0.1064
         3.1460         0.0885         0.1678         0.0040         0.2499         0.0065
         3.1460         0.0054         0.0864         0.0009         0.0251         0.0667
         3.1461         0.1446         0.1266         0.0006         0.2612         0.0100
         3.1465         0.3934         0.9955         0.0005         0.7015         0.6873
         3.1465         0.0726         0.1442         0.0016         0.0307         0.1861
         3.1467         0.0831         0.0312         0.0012         0.1068         0.0076
         3.1469         0.4734         0.9342         0.0002         0.5235         0.8841
         3.1472         0.0348         0.1153         0.0005         0.0483         0.1018
         3.1473         0.0730         0.1626         0.0014         0.0385         0.1971
         3.1473         0.9733         0.2532         0.0038         0.1175         1.1090
         3.1475         0.0630         0.0830         0.0010         0.1328         0.0132
         3.1475         0.4009         1.0375         0.0003         0.7114         0.7270
         3.1477         0.0689         0.0152         0.0011         0.0581         0.0260
         3.1478         0.3210         0.9217         0.0028         0.7049         0.5378
         3.1482         0.0398         0.0496         0.0033         0.0883         0.0010
         3.1485         0.0520         0.1022         0.0003         0.0234         0.1308
         3.1485         0.3230         0.9054         0.0028         0.6996         0.5288
         3.1486         0.5143         0.9602         0.0000         0.5576         0.9170
         3.1487         0.0126         0.0374         0.0010         0.0033         0.0466
