 #  energy  xx  yy  zz  sp  sm
         2.1463         0.4595         0.2034         0.0013         0.0258         0.6372
         2.1471         0.4489         0.0234         0.0005         0.3001         0.1723
         2.1474         2.0803         2.1001         0.0113         4.1469         0.0335
         2.1475         1.3350         0.4126         0.0031         1.6152         0.1325
         2.1478         2.2099         2.7592         0.0208         0.0585         4.9106
         2.1480         0.4204         0.0980         0.0006         0.0621         0.4562
         2.1487         0.4980         0.2605         0.0006         0.0514         0.7071
         2.1489         0.6101         0.0494         0.0007         0.5032         0.1563
         2.1492         2.0296         2.1176         0.0117         4.1160         0.0312
         2.1497         2.4158         2.3806         0.0118         4.7665         0.0299
         2.1502         2.2259         2.7784         0.0181         0.0747         4.9296
         2.1514         2.1368         2.6143         0.0200         0.0382         4.7130
         2.1533         2.0265         2.1715         0.0122         4.1526         0.0454
         2.1548         2.9138         2.5693         0.0129         5.4458         0.0373
         2.1549         2.2494         2.9175         0.0187         0.0773         5.0896
         2.1559         2.2183         2.8169         0.0200         0.0433         4.9919
         2.1565         2.7519         2.5329         0.0139         5.2386         0.0463
         2.1570         2.2957         2.9912         0.0207         0.0644         5.2225
         2.1963         2.6793         1.4418         0.0202         1.1152         3.0060
         2.1967         2.7708         1.1550         0.0075         3.3848         0.5410
         2.1971         0.5740         0.8830         0.0048         0.1343         1.3227
         2.1971         2.6500         1.2371         0.0105         3.2697         0.6174
         2.1979         2.3761         1.1020         0.0146         1.0909         2.3872
         2.1986         1.8583         1.2591         0.0164         0.8403         2.2771
         2.1989         0.5982         0.8560         0.0063         0.1053         1.3489
         2.2002         4.1763         1.7299         0.0146         4.7658         1.1404
         2.2008         1.5130         0.8771         0.0162         1.8233         0.5668
         2.2008         1.6163         0.7860         0.0127         1.9975         0.4048
         2.2009         1.4247         0.7765         0.0100         0.9017         1.2994
         2.2010         0.9477         1.2508         0.0056         0.1973         2.0012
         2.2010         1.7863         1.3406         0.0048         2.8343         0.2927
         2.2011         0.8414         0.7311         0.0079         0.4171         1.1554
         2.2013         1.0635         1.4253         0.0154         0.2829         2.2058
         2.2015         0.7504         1.0933         0.0129         0.1865         1.6572
         2.2020         0.9391         0.6269         0.0071         0.5374         1.0285
         2.2026         3.7916         1.7242         0.0186         4.6369         0.8790
         2.2033         4.1044         2.0301         0.0190         4.9320         1.2025
         2.2033         1.9009         1.4412         0.0047         3.0856         0.2565
         2.2034         1.7765         1.0627         0.0038         0.1073         2.7318
         2.2034         0.5615         0.7832         0.0068         0.1131         1.2317
         2.2038         1.6696         1.2402         0.0044         2.5897         0.3201
         2.2042         1.5902         1.2937         0.0143         0.3543         2.5297
         2.2043         0.9425         1.2878         0.0144         0.7112         1.5191
         2.2044         0.0787         0.3452         0.0054         0.3189         0.1050
         2.2045         2.0115         1.7678         0.0170         0.4699         3.3095
         2.2049         1.7542         1.0884         0.0046         0.1186         2.7239
         2.2051         0.4825         0.3098         0.0035         0.6013         0.1910
         2.2052         4.0546         2.0276         0.0218         4.9780         1.1042
         2.2053         0.8401         0.8870         0.0093         1.5472         0.1799
         2.2053         1.3199         1.5908         0.0079         0.1710         2.7396
         2.2055         1.3986         0.6993         0.0023         0.0764         2.0215
         2.2057         0.9311         1.1749         0.0146         0.4943         1.6117
         2.2064         0.7887         1.0602         0.0075         0.1370         1.7119
         2.2066         1.9516         1.5132         0.0039         3.2083         0.2565
         2.2067         2.6439         1.8224         0.0210         0.7570         3.7093
         2.2067         1.1827         1.1863         0.0113         2.0878         0.2813
         2.2070         2.5258         1.9340         0.0208         0.6892         3.7705
         2.2071         2.0511         1.5513         0.0045         3.2497         0.3527
         2.2075         2.1179         1.6532         0.0042         3.4547         0.3164
         2.2077         1.2489         0.5792         0.0014         1.6740         0.1541
         2.2081         1.6448         1.0122         0.0093         2.2809         0.3761
         2.2084         1.9042         1.8734         0.0148         0.4976         3.2800
         2.2088         0.1705         0.0380         0.0007         0.1235         0.0851
         2.2091         1.1296         0.4758         0.0014         1.4156         0.1899
         2.2093         2.1172         1.4529         0.0130         3.0840         0.4861
         2.2093         1.9288         1.9704         0.0145         0.6205         3.2786
         2.2097         0.2568         0.0091         0.0002         0.1799         0.0860
         2.2099         1.7793         1.1596         0.0056         0.1101         2.8288
         2.2100         0.0157         0.4794         0.0032         0.2740         0.2211
         2.2101         2.4614         1.0555         0.0090         2.3976         1.1192
         2.2104         1.3837         0.7097         0.0016         1.9502         0.1432
         2.2105         1.0190         0.3676         0.0010         0.0941         1.2924
         2.2106         2.8190         1.3497         0.0098         3.0119         1.1568
         2.2107         2.7122         1.4892         0.0134         3.4138         0.7877
         2.2107         2.6283         1.5930         0.0157         3.5152         0.7061
         2.2121         0.3194         0.3177         0.0055         0.2754         0.3618
         2.2128         1.5424         0.8932         0.0035         0.0965         2.3390
